"description","category","subcategory","merchant","amount","is_expense"
"Airtime ya Safaricom","Shopping","Electronics & Gadgets","Ananas Mall Thika",230.73,1
"Safaricom cover premium","Travel & Vacation","Travel Insurance","Expeditions Maasai Safaris",532.33,1
"Comprehensive cover installment","Financial Expenses","Insurance Premiums","National Social Security Fund",57.1,1
"Sacco dividend","Income & Earnings","Investment Income","Pension & Retirement",857.79,1
"Safari cover","Travel & Vacation","Travel Insurance","Destination Services",645.49,1
"Domain renewal","Business & Work Expenses","Website Hosting & Domains","Xero Kenya",507.92,1
"Football Jersey","Shopping","Sports & Outdoor Equipment","Voi Safari Mall",968.79,1
"Beads za hereni","Shopping","Hobby & Craft Supplies","Yaya Centre",226.75,1
"Dawa ya paka","Pets & Animal Care","Pet Medications","Wetlands Pet Store",875.05,1
"Alarm activation fee","Housing & Home Expenses","Home Security Systems","ACG Group Limited",228.02,1
"Chips funga","Food & Dining","Fast Food","Beit é Selam",214.58,1
"Simu imeenda","Miscellaneous & Unexpected Expenses","Lost or Stolen Items","Repairs",938.23,1
"School uniform tosha","Childcare & Parenting","Children's Clothing & Shoes","Pediatric Clinics in Nairobi",699.14,1
"Board game","Shopping","Toys & Games","Eastleigh Mall",154.94,1
"Beads for loom","Leisure & Entertainment","Hobbies","Sound Creations LTD",924.7,1
"Sukuma wiki bundle","Food & Dining","Specialty Foods","Turtle Bay Beach Club Restaurant",828.47,1
"Fundi calling","Miscellaneous & Unexpected Expenses","Repairs & Maintenance","Repairs",910.05,1
"Website development client","Income & Earnings","Freelance Income","Freelance Income",633.36,1
"Lipstick shade nude","Personal Care & Grooming","Skincare & Cosmetics","Velvex Kenya",186.06,1
"Chapati kwa Mama","Travel & Vacation","Hotels & Lodging","JungleRoam Safaris",786.41,1
"Case filing fees","Legal & Professional Services","Court Fees","TripleOKLaw LLP",150.39,1
"Fundi wa stima","Housing & Home Expenses","Home Maintenance & Repairs","Mabati Rolling Mills Ltd",916.3,1
"Dog food","Pets & Animal Care","Pet Toys & Accessories","KSPCA Kenya",419.52,1
"Viu monthly","Leisure & Entertainment","Streaming Services","Alliance Française Nairobi",871.69,1
"Clothing & Accessories purchase","Shopping","Clothing & Accessories","Machakos Junction Mall",881.71,1
"Scooter hire CBD","Transportation","Bike & Scooter Rentals","Isuzu East Africa Ltd.",622.44,1
"Mitumba shoes","Shopping","Sports & Outdoor Equipment","Mwingi Mall",244.12,1
"Bundle ya wiki","Utilities","Mobile Phone Bills","Gulf Energy Limited",503.58,1
"Kusoma App monthly","Education & Learning","Educational Subscriptions","Strathmore University",616.05,1
"Dawa ya homa","Childcare & Parenting","Children's Health & Medical Care","Baby Gym & Playtime Kenya",760.23,1
"Chess club fees","Childcare & Parenting","Extracurricular Activities","Postnatal & Parenting Counseling Kenya",278.23,1
"Sim card replacement","Miscellaneous & Unexpected Expenses","Lost or Stolen Items","Overdraft Fees",506.73,1
"KRA filing","Legal & Professional Services","Tax Preparation Services","PKF Kenya",321.74,1
"Shule lessons","Education & Learning","Educational Subscriptions","United States International University (USIU)",499.96,1
"Lotion ya ngozi","Shopping","Beauty & Skincare","Meru Greenwood Park Mall",541.62,1
"Fundi charges","Miscellaneous & Unexpected Expenses","Repairs & Maintenance","Legal Fees",951.02,1
"Blog post","Income & Earnings","Freelance Income","Refunds",668.39,1
"Toy car","Childcare & Parenting","Kids' Toys & Games","Baby Love Store",369.7,1
"Land sale papers","Legal & Professional Services","Notary Services","KTA Advocates Kenya",685.2,1
"Curtains","throw pillows","Shopping","Home Decor & Furnishings,Moyale Mall",665.76,1
"Mbwa daycare","Pets & Animal Care","Pet Boarding & Sitting","Nairobi Vet Centre",760.02,1
"Home Maintenance & Repairs purchase","Housing & Home Expenses","Home Maintenance & Repairs","AAR Insurance Kenya",193.96,1
"Chips funga","Food & Dining","Takeout & Delivery","The Floating Bar",128.87,1
"Drinks pale","Food & Dining","Bars & Nightclubs","Mawe Resort Restaurant",493.56,1
"Mama Mboga","Gifts & Donations","Tips & Gratuities","Child Welfare Society of Kenya",303.78,1
"KRA filing assist","Legal & Professional Services","Tax Preparation Services","Deloitte Kenya Legal & Tax Services",827.8,1
"Jollof","Food & Dining","Meal Kits & Subscriptions","Alawi Boutique Hotel Restaurant",123.37,1
"Chanel No. 5","Personal Care & Grooming","Perfumes & Fragrances","Sana Naturals",152.26,1
"Mguu strong","Health & Fitness","Physical Therapy","Goodlife Pharmacy",184.29,1
"* Office 365 renewed","Business & Work Expenses","Software & SaaS Subscriptions","Youth Enterprise Development Fund",824.51,1
"Tokens za ride","Leisure & Entertainment","Amusement Parks & Arcades","Prestige Cinema",787.85,1
"Strepsils","Health & Fitness","Over-the-Counter Medicines","Pharmacy",100.0,1
"KRA Filing fee","Legal & Professional Services","Tax Preparation Services","Capital Markets Authority Kenya",594.64,1
"Pilau prep kit","Food & Dining","Meal Kits & Subscriptions","The Moorings Floating Restaurant",880.06,1
"SME license renewal","Legal & Professional Services","Licensing & Permits","EY Kenya Tax & Business Advisory",347.53,1
"Counseling session","Health & Fitness","Mental Health Therapy","Radiant Group of Hospitals",707.86,1
"Chips funga","Food & Dining","Fast Food","Mama Oliech's Restaurant",1330.61,1
"KCPE registration","Education & Learning","Test Preparation & Exams Fees","International Christian Kindergarten",731.27,1
"Ugali fish kachumbari","Food & Dining","Restaurants","Haandi Restaurant",11888.03,1
"Prescription Medications purchase","Health & Fitness","Prescription Medications","Viva Fitness Center",124.76,1
"Veterinary Bills & Pet Insurance purchase","Pets & Animal Care","Veterinary Bills & Pet Insurance","Exotic Birds Kenya",301.08,1
"Chips funga","Leisure & Entertainment","Amusement Parks & Arcades","Milele FM",829.13,1
"Boda fare","Miscellaneous & Unexpected Expenses","Emergency Expenses","Legal Fees",190.85,1
"Kikoi and beads","Travel & Vacation","Souvenirs & Gifts from Travel","Game Africa Safaris",561.41,1
"Mbolea ya shamba","Housing & Home Expenses","Landscaping & Gardening","National Housing Corporation",761.0,1
"Termite fumigation","Housing & Home Expenses","Pest Control","Kenya Power and Lighting Company",858.21,1
"Sabuni na tissue","Personal Care & Grooming","Personal Hygiene Products","Avon Kenya",278.17,1
"Shule fees","Education & Learning","Books & Educational Materials","Kenya Private Schools Association",846.97,1
"Loan ya nyumba","Housing & Home Expenses","Mortgage Payments","NCBA Bank Kenya",346.33,1
"Matatu fare","Travel & Vacation","Car Rentals","Ker & Downey Safaris",606.06,1
"Nyumba rent","Income & Earnings","Rental Income","Passive Income",788.65,1
"Shamba tools","Miscellaneous & Unexpected Expenses","Lost or Stolen Items","Legal Fees",535.71,1
"Baby class fees","Childcare & Parenting","Daycare & Preschool Fees","The Nanny Centre Kenya",954.08,1
"Kids school fees","Childcare & Parenting","School Fees & Tuition","Nairobi Kids Playhouse",266.01,1
"Paka boarding","Pets & Animal Care","Pet Boarding & Sitting","Pet-Friendly Hotels & Resorts Kenya",492.54,1
"Ear piercing replacement","Personal Care & Grooming","Tattoos & Piercings","Nourish Essentials",547.32,1
"DSTV Premium","Miscellaneous & Unexpected Expenses","Subscriptions & Memberships","Legal Fees",785.33,1
"Investment Income purchase","Income & Earnings","Investment Income","Refunds",999.91,1
"Simu imeibiwa","Miscellaneous & Unexpected Expenses","Lost or Stolen Items","Overdraft Fees",110.2,1
"Chemistry textbook","Education & Learning","Books & Educational Materials","Kenya Institute of Special Education (KISE)",654.6,1
"Chips funga","Food & Dining","Fast Food","The Floating Bar",156.26,1
"Dawa ya homa","Childcare & Parenting","Children's Health & Medical Care","Kinderworld International Kindergarten",693.9,1
"Uni sem fee","Education & Learning","Tuition Fees","Umma University",559.03,1
"Kids puzzle","Shopping","Toys & Games","Kakamega Mega Mall",462.43,1
"Kicks mpya","Shopping","Sports & Outdoor Equipment","Garden City Mall",591.47,1
"Kitenge fabric","Travel & Vacation","Souvenirs & Gifts from Travel","Kibo Slopes Safaris",393.86,1
"Eldoret flight","Transportation","Airfare & Flights","Tata Trucks and Tractors",29.19,1
"Board game purchase","Childcare & Parenting","Kids' Toys & Games","Face Painting & Kids Entertainment Services",922.43,1
"Mbolea garden","Housing & Home Expenses","Landscaping & Gardening","Mabati Rolling Mills Ltd",559.72,1
"SACCO contribution","Financial Expenses","Investment Contributions","I&M Bank",339.49,1
"Dawa ya malaria","Health & Fitness","Prescription Medications","Medanta Africare",132.31,1
"Pilau masala","Food & Dining","Specialty Foods","La Dolce Vita",968.07,1
"Co-op shares","Income & Earnings","Investment Income","Refunds",756.89,1
"Fundi wa simu","Miscellaneous & Unexpected Expenses","Repairs & Maintenance","Legal Fees",43.92,1
"Kids after school","Childcare & Parenting","Babysitting & Nanny Services","Child Safety & First Aid Training Kenya",377.72,1
"Billboard space","Business & Work Expenses","Advertising & Marketing","WeTransfer Kenya",37.78,1
"Sabuni na mafuta","Personal Care & Grooming","Personal Hygiene Products","Luscious Touch Kenya",101.03,1
"Website design","Business & Work Expenses","Freelancer Payments","Family Bank SME Solutions",705.73,1
"Logbook transfer fee","Transportation","Vehicle Registration & Licensing","GLANCE ROADWAYS",233.1,1
"Nyumba cover premium","Housing & Home Expenses","Home Insurance","Lavington Security Systems",873.75,1
"Paracetamol na panadol","Health & Fitness","Over-the-Counter Medicines","Avenue Hospital",568.94,1
"Bundles za simu","Utilities","Mobile Phone Bills","Barefoot Power",89.22,1
"Umeme token","Utilities","Electricity","DStv",735.25,1
"Form 1 fees","Childcare & Parenting","School Fees & Tuition","Kenya Association of Professional Nannies",680.26,1
"Bando internet bundles","Business & Work Expenses","Advertising & Marketing","Slack Kenya",901.05,1
"Land dispute retainer","Legal & Professional Services","Lawyer Fees","Kenya Copyright Board",462.49,1
"Notary Services purchase","Legal & Professional Services","Notary Services","Wills & Estate Planning Kenya",756.24,1
"Chama contribution","Financial Expenses","Investment Contributions","Absa Bank Kenya",164.54,1
"Comprehensive Cover","Financial Expenses","Insurance Premiums","Prime Bank Kenya",905.27,1
"Pension contribution","Legal & Professional Services","Financial Advisors","Legal Aid Kenya",400.65,1
"Full body massage","Health & Fitness","Wellness & Spa Treatments","Shamiri Health",564.65,1
"Land dispute retainer","Legal & Professional Services","Lawyer Fees","Kenya Legal Resources",240.83,1
"Dental check-up","Health & Fitness","Medical Bills","Metropolis Star Lab Kenya",779.39,1
"Paka chakula","Shopping","Pet Supplies","Marsabit Plaza",613.68,1
"Kikoi ya Pwani","Travel & Vacation","Souvenirs & Gifts from Travel","Kenya Walking Survivors Safaris",279.39,1
"Dawa ya homa","Childcare & Parenting","Children's Health & Medical Care","Home-Based Childcare Services Kenya",309.96,1
"School shoes","Childcare & Parenting","Children's Clothing & Shoes","Baby Swimming Classes Nairobi",106.95,1
"Birthday treat","Income & Earnings","Gifts Received","YouTube Ad Revenue",165.35,1
"Matatu fare","Transportation","Vehicle Leasing & Rentals","Kenya Railways Corporation",206.92,1
"Soccer boots","Childcare & Parenting","Extracurricular Activities","Happy Tots Nursery",242.45,1
"KCSE registration","Education & Learning","Test Preparation & Exams Fees","Rosslyn Academy",427.0,1
"Lishe ya watoto","Health & Fitness","Supplements & Vitamins","Equity Afia",329.11,1
"Credit Card Annual Fees purchase","Financial Expenses","Credit Card Annual Fees","Family Bank",108.71,1
"Pilau Kit","Food & Dining","Meal Kits & Subscriptions","Mercado - Mexican Kitchen & Bar",145.51,1
"Weekly shamba pay","Income & Earnings","Salary & Wages","Refunds",858.1,1
"Matatu fare","Utilities","Gas","Kenya Petroleum Refineries Limited (KPRL)",254.19,1
"Nyumba safi kabisa","Housing & Home Expenses","Home Cleaning Services","Davis & Shirtliff Ltd",454.71,1
"Matatu fare","Transportation","Vehicle Leasing & Rentals","Kenya National Shipping Line",946.99,1
"Matatu fare","Travel & Vacation","Car Rentals","Vintage Africa Limited",97.9,1
"Nyama choma","Leisure & Entertainment","Concerts & Live Events","MOB Entertainment Limited",291.81,1
"Land rates","Housing & Home Expenses","Property Taxes","Jopestkil Kenya",955.81,1
"Termite treatment","Housing & Home Expenses","Pest Control","ACG Group Limited",283.42,1
"Maji safi","Utilities","Water","Wananchi Group",384.2,1
"Dog vaccines","Pets & Animal Care","Veterinary Bills & Pet Insurance","Mammals & More Pet Store",194.47,1
"Aroma therapy massage","Health & Fitness","Wellness & Spa Treatments","Heartfulness",807.96,1
"Petrol full tank","Utilities","Gas","Tullow Oil Kenya",709.51,1
"Ola Uber chapchap","Transportation","Taxi & Ride-sharing","Metro Logistics",172.22,1
"Matatu fare","Income & Earnings","Refunds & Rebates","Lottery Winnings",615.2,1
"Domain registration renewal","Business & Work Expenses","Website Hosting & Domains","Brand Kenya Board",918.93,1
"Amusement Parks & Arcades purchase","Leisure & Entertainment","Amusement Parks & Arcades","Monsoons Creative Studio",281.55,1
"Vitabu shuleni","Education & Learning","Books & Educational Materials","Nairobi International School",346.48,1
"Business permit renewal","Legal & Professional Services","Licensing & Permits","Criminal Defense Lawyers Kenya",986.43,1
"Hot stone massage","Health & Fitness","Wellness & Spa Treatments","Nairobi Hospital",192.4,1
"Sales incentive","Income & Earnings","Bonuses & Commissions","Salary",222.46,1
"Land rates","Housing & Home Expenses","Property Taxes","Equity Bank Kenya",41.36,1
"Mbwa checkup","Pets & Animal Care","Veterinary Bills & Pet Insurance","Kenya Animal Training Academy",605.19,1
"Form 4 textbooks","Education & Learning","Books & Educational Materials","Nairobi International School",37.22,1
"Fundi wa bafu","Housing & Home Expenses","Home Maintenance & Repairs","Britam Holdings Plc",414.35,1
"Shule lessons","Education & Learning","Educational Subscriptions","St. Andrew’s School,Turi",13.59,1
"Curtains za bedroom","Shopping","Home Decor & Furnishings","CBD Shopping Centre",845.29,1
"Lotion ya ngozi","Shopping","Beauty & Skincare","Adams Arcade",265.92,1
"Airtime top-up","Shopping","Electronics & Gadgets","Nike",959.06,1
"Full body massage","Health & Fitness","Wellness & Spa Treatments","Angsana Spa",276.59,1
"Passport application fee","Travel & Vacation","Visa & Passport Fees","Qatar Airways",870.35,1
"Frames replacement","Health & Fitness","Vision Care","Kenyatta National Hospital",653.03,1
"Helb installment","Education & Learning","Student Loans Repayment","West Nairobi School",353.67,1
"Kikapu cha chai","Travel & Vacation","Souvenirs & Gifts from Travel","Heritage Hotels Kenya",501.62,1
"M-Pesa charges","Financial Expenses","Bank Fees","DStv",535.04,1
"Scooter hire tao","Transportation","Bike & Scooter Rentals","Citi Hoppa",755.28,1
"Chips funga","Food & Dining","Fast Food","La Dolce Vita",707.86,1
"Aroma therapy","Personal Care & Grooming","Spas & Massages","Dove Kenya",306.35,1
"Ngotha mpira","Shopping","Sports & Outdoor Equipment","Khetia's Supermarket",852.34,1
"Nyumba safi kabisa","Housing & Home Expenses","Home Cleaning Services","Royal Mabati Factory Ltd",25.99,1
"Chapati breakfast pale","Travel & Vacation","Hotels & Lodging","Uniglobe Northline Travel",431.8,1
"Kitten scratch post","Pets & Animal Care","Pet Toys & Accessories","Pets & More Kenya",509.08,1
"Weekend getaway chariot","Travel & Vacation","Car Rentals","Kibo Slopes Safaris",490.38,1
"Kitenge carry-on","Travel & Vacation","Travel Accessories","Bienvenido Kenya Tours and Safaris",684.93,1
"* Salon braids","Income & Earnings","Side Hustle Earnings","Salary",96.54,1
"Creative Cloud renewal","Business & Work Expenses","Software & SaaS Subscriptions","Kenya Export Promotion and Branding Agency",708.85,1
"Aroma therapy session","Personal Care & Grooming","Spas & Massages","O’Bao African Skincare",465.88,1
"Educational Subscriptions purchase","Education & Learning","Educational Subscriptions","Catholic University of Eastern Africa",563.54,1
"Chips funga","Business & Work Expenses","Client Meals & Entertainment","Absa Business Banking",597.1,1
"Ear lobe piercing","Personal Care & Grooming","Tattoos & Piercings","Tony Airo Salon",776.93,1
"Toothache medicine","Health & Fitness","Dental Care","The Nairobi West Hospital",415.1,1
"Shamba rent","Income & Earnings","Rental Income","Refunds",818.8,1
"Matatu fare","Housing & Home Expenses","Moving & Relocation","Stanbic Bank Kenya",551.39,1
"tomatoes","Food & Dining","Groceries","Market",80.0,1
"Fundi wa bati","Housing & Home Expenses","Home Maintenance & Repairs","Ultimate Security Ltd",477.88,1
"Toy car","Childcare & Parenting","Kids' Toys & Games","Kids Fashion Kenya",917.54,1
"New specs frames","Health & Fitness","Vision Care","St. Mary's Mission Hospital",32.2,1
"Salon makeover","Income & Earnings","Gifts Received","Passive Income",322.94,1
"Curtains za bedroom","Shopping","Home Decor & Furnishings","Voi Safari Mall",489.64,1
"Chapati via Glovo","Food & Dining","Takeout & Delivery","Graze Steakhouse",100.08,1
"Tiba ya mgongo","Health & Fitness","Physical Therapy","Mater Misericordiae Hospital",552.21,1
"Dog food","Pets & Animal Care","Pet Food & Treats","National Museums of Kenya Animal Welfare",902.05,1
"Beads za kitenge","Shopping","Hobby & Craft Supplies","Naivas Supermarket",71.58,1
"Mamas new kanga","Gifts & Donations","Holiday Gifts","Homeless of Nairobi Initiative",391.6,1
"Office Supplies purchase","Business & Work Expenses","Office Supplies","Co-op Bank Bizwise",387.45,1
"Kitenge ya Mama","Shopping","Clothing & Accessories","Rosslyn Riviera Mall",724.94,1
"Fail to appear","Legal & Professional Services","Court Fees","Kenya Legal & Ethical Issues Network",240.78,1
"Bundles za data","Leisure & Entertainment","Video Games & Online Gaming","Vox Events Hub (Voxvents)",643.31,1
"DSTV subscription","Utilities","Cable & Streaming Services","Frontier Optical Networks",430.29,1
"Kienyeji chicken fry","Gifts & Donations","Wedding & Birthday Gifts","Rotary Club of Nairobi",439.33,1
"Mama Mboga","Income & Earnings","Side Hustle Earnings","Investment Income",109.87,1
"Dog dewormer","Pets & Animal Care","Pet Medications","Pet Boarding Services Nairobi",511.18,1
"Tiba ya goti","Health & Fitness","Physical Therapy","Dojo Wellness Club",814.1,1
"Sadaka ya kanisa","Gifts & Donations","Religious Donations","Bless a Child Foundation Kenya",706.97,1
"Kikapu bag","Travel & Vacation","Travel Accessories","Shanjoy Tours and Safaris",834.26,1
"Pencils na rubbers","Education & Learning","School Supplies","Umma University",280.4,1
"Kisomo lessons","Education & Learning","Educational Subscriptions","Visa Oshwal Primary & Secondary School",839.18,1
"Chess set","Leisure & Entertainment","Board Games & Puzzles","Movie Tickets Ltd.",529.51,1
"Umeme token","Utilities","Electricity","American Tower Corporation Kenya",328.54,1
"ATM withdrawal charges","Financial Expenses","Bank Fees","Kenya Revenue Authority",304.62,1
"Matatu fare","Transportation","Vehicle Leasing & Rentals","Bolt",214.42,1
"Paka vet check","Pets & Animal Care","Veterinary Bills & Pet Insurance","Furry Friends Pet Shop",553.08,1
"Side Hustle Earnings purchase","Income & Earnings","Side Hustle Earnings","Freelance Income",998.27,1
"Dog chew toy","Pets & Animal Care","Pet Toys & Accessories","VetCare Animal Supplies",348.3,1
"Mama mboga commission","Income & Earnings","Side Hustle Earnings","Freelance Income",851.12,1
"Fundis fix","Miscellaneous & Unexpected Expenses","Repairs & Maintenance","Overdraft Fees",463.76,1
"Uni fees installment","Education & Learning","Tuition Fees","Visa Oshwal Primary & Secondary School",471.25,1
"Pilau and kachumbari","Business & Work Expenses","Client Meals & Entertainment","iHub Kenya",859.65,1
"Math set","Education & Learning","School Supplies","Ubongo Kids",164.33,1
"Knit kanga gift","Gifts & Donations","Holiday Gifts","Palmhouse Foundation",373.68,1
"Matatu fare","Leisure & Entertainment","Theater & Performing Arts","ZUMI",977.35,1
"Aroma therapy massage","Health & Fitness","Wellness & Spa Treatments","Orthopedic and Trauma Institute",395.33,1
"Chips mwitu","Business & Work Expenses","Client Meals & Entertainment","Google Workspace Kenya",463.65,1
"Mama Njeri safisha","Housing & Home Expenses","Home Cleaning Services","Space and Style Ltd",466.81,1
"Passport application fees","Travel & Vacation","Visa & Passport Fees","Topcats Safaris Ltd",474.62,1
"Malaria pills refill","Health & Fitness","Prescription Medications","AAR Healthcare",591.25,1
"Afro beats tix","Leisure & Entertainment","Concerts & Live Events","KenyaBuzz",480.47,1
"Billboard Ad Space","Business & Work Expenses","Advertising & Marketing","Evernote Kenya",677.26,1
"Personal Gifts purchase","Gifts & Donations","Personal Gifts","The Dr. Choksey Albinism Foundation",278.13,1
"Fuel & Gasoline purchase","Transportation","Fuel & Gasoline","Express Kenya Ltd.",714.18,1
"Building permit fees","Legal & Professional Services","Licensing & Permits","Mergers & Acquisitions Lawyers Kenya",913.0,1
"Aroma massage terapii","Personal Care & Grooming","Spas & Massages","Mimosa Beauty",860.25,1
"Fade ya leo","Personal Care & Grooming","Haircuts & Barber Services","Luxe Beauty Kenya",936.48,1
"Exercise books","Shopping","Books & Stationery","Mega City Mall Kisumu",478.53,1
"Nyumba loan","Housing & Home Expenses","Mortgage Payments","Galaxy Paints & Coating Co. Ltd",747.67,1
"Ushauri wa Pesa","Legal & Professional Services","Financial Advisors","Muthoga Gaturu Advocates",516.1,1
"Kitanda mpya","Shopping","Home Decor & Furnishings","Meru Greenwood Park Mall",458.04,1
"Passport application fee","Travel & Vacation","Visa & Passport Fees","Explorer Kenya Safaris",883.33,1
"Website translation kazi","Business & Work Expenses","Freelancer Payments","Paystack Kenya",258.81,1
"Sim card replacement","Miscellaneous & Unexpected Expenses","Lost or Stolen Items","Legal Fees",726.86,1
"Netflix leo","Utilities","Cable & Streaming Services","Zuku",571.37,1
"Nyumba cover premium","Housing & Home Expenses","Home Insurance","Eslon Plastics of Kenya Ltd",43.8,1
"KRA exam fee","Education & Learning","Test Preparation & Exams Fees","Premier Academy",944.11,1
"Kamusi ya Kiswahili","Education & Learning","Books & Educational Materials","Africa Nazarene University",483.94,1
"Travel pillow","Travel & Vacation","Travel Accessories","Explorer Kenya Safaris",478.16,1
"Pension contribution fund","Legal & Professional Services","Financial Advisors","Legal Compliance Training Kenya",457.75,1
"Religious Donations purchase","Gifts & Donations","Religious Donations","Wings of Mercy Kenya",722.84,1
"Bundle ya wiki","Utilities","Mobile Phone Bills","d.light Solar",469.55,1
"Project management exam","Education & Learning","Professional Certifications","Rosslyn Academy",380.57,1
"Wakanda showing","Leisure & Entertainment","Movie Tickets","Radio Jambo",283.66,1
"Shule books","Education & Learning","Books & Educational Materials","East African Educational Publishers",250.31,1
"Pilau","kachumbari","Food & Dining","Restaurants,Crystal Bay Resort Restaurant",15241.47,1
"Web design job","Business & Work Expenses","Freelancer Payments","Magento Kenya",214.26,1
"Mamas kiondo","Gifts & Donations","Holiday Gifts","Hope Alive Kenya",327.15,1
"Tutoring fee","Income & Earnings","Side Hustle Earnings","Land Leasing",830.09,1
"Dog food kilo","Pets & Animal Care","Pet Food & Treats","Luxury Pet Boarding Kenya",153.97,1
"Sadaka Jumapili","Gifts & Donations","Religious Donations","Angel Centre for Abandoned Children",874.87,1
"Nissan rental fee","Transportation","Vehicle Leasing & Rentals","Renault Trucks Africa",643.05,1
"Filing charges","Legal & Professional Services","Court Fees","Iseme Kamau & Maema Advocates",574.48,1
"Lotion ya ngozi","Shopping","Beauty & Skincare","Carrefour",655.8,1
"Website development fee","Business & Work Expenses","Freelancer Payments","National Hospital Insurance Fund (NHIF) Employer Contributions",386.53,1
"School fees","Childcare & Parenting","Daycare & Preschool Fees","Smiley Kids Boutique",518.84,1
"Airfare & Flights purchase","Transportation","Airfare & Flights","AGL Kenya Limited",288.31,1
"Drinks pale","Food & Dining","Bars & Nightclubs","Mawimbi Seafood Restaurant",445.17,1
"Hisa savings","Financial Expenses","Retirement Savings","I&M Bank",338.3,1
"Taka collection fee","Utilities","Waste Management & Recycling","TotalEnergies Marketing Kenya Plc",636.82,1
"Avengers Endgame","Leisure & Entertainment","Movie Tickets","Home Boyz Entertainment",487.16,1
"Gor Mahia ticket","Leisure & Entertainment","Sporting Events","XFM Kenya",85.89,1
"Land rates","Business & Work Expenses","Professional Services","Metta Nairobi",137.81,1
"HELB instalment","Education & Learning","Student Loans Repayment","Makini Schools",895.09,1
"Sauti Sol tix","Leisure & Entertainment","Concerts & Live Events","Ghetto Radio",900.88,1
"Dog chew bone","Pets & Animal Care","Pet Toys & Accessories","Canine Obedience School Kenya",72.86,1
"Tokens za ride","Leisure & Entertainment","Amusement Parks & Arcades","Goethe-Institut Kenya",71.46,1
"School uniform","Childcare & Parenting","Children's Clothing & Shoes","MP Shah Hospital Pediatrics",784.5,1
"Driving license renewal","Transportation","Vehicle Registration & Licensing","Fright In Time Ltd.",734.54,1
"Title deed stamp","Legal & Professional Services","Notary Services","Cybersecurity & IT Compliance Law Kenya",631.68,1
"Mamas Gift Set","Gifts & Donations","Holiday Gifts","Friends of Nairobi National Park",607.83,1
"Treats za mbwa","Pets & Animal Care","Pet Toys & Accessories","Pets Paradise Kenya",447.89,1
"Parking Fees purchase","Transportation","Parking Fees","Super Metro",801.53,1
"Flights purchase","Travel & Vacation","Flights","WildTrek Safaris",145.81,1
"Sweet Jasmine scent","Personal Care & Grooming","Perfumes & Fragrances","The Blow Dry Bar",700.6,1
"Vasha movie pass","Leisure & Entertainment","Streaming Services","Ghafla Kenya",972.06,1
"Shylock Deni","Financial Expenses","Loan Repayments","Platinum Credit",747.09,1
"Chips funga","Food & Dining","Restaurants","Lonno Lodge Restaurant",20596.35,1
"Bundles za net","Shopping","Electronics & Gadgets","Adams Arcade",215.04,1
"Kitenge phone cover","Travel & Vacation","Souvenirs & Gifts from Travel","Glorious Safaris",86.83,1
"Nairobi Tech Summit","Education & Learning","Workshops & Seminars","NEMIS Kenya",643.72,1
"SACCO contribution","Financial Expenses","Retirement Savings","I&M Bank",334.14,1
"Kitabu haki","Income & Earnings","Royalties & Licensing Income","Lottery Winnings",144.82,1
"Fitness Centre Fee","Health & Fitness","Gym Memberships","Access Afya",178.8,1
"Sun hat","Travel & Vacation","Travel Accessories","Xcellent Wildlife Paradise",282.76,1
"Dog food","Pets & Animal Care","Pet Toys & Accessories","Pet Essentials Kenya",906.94,1
"Dog chew toy","Pets & Animal Care","Pet Toys & Accessories","Pet Lovers Centre Nairobi",335.47,1
"Chips funga mbili","Leisure & Entertainment","Amusement Parks & Arcades","Citizen TV Kenya",421.29,1
"SGR ticket","Travel & Vacation","Travel Insurance","Huria Safaris & Tours Ltd",441.0,1
"Perfumes & Fragrances purchase","Personal Care & Grooming","Perfumes & Fragrances","Cosmo Beauty Bar",572.84,1
"Daktari session","Health & Fitness","Mental Health Therapy","Gertrude's Children's Hospital",266.35,1
"Kiosk fire cover","Business & Work Expenses","Business Insurance","Monday.com Kenya",550.63,1
"Nyumba cover premium","Housing & Home Expenses","Home Insurance","PG Security",21.03,1
"Scooter hapa CBD","Transportation","Bike & Scooter Rentals","Geo-Sat Tracking Solution",107.98,1
"Form 1 fees","Childcare & Parenting","School Fees & Tuition","Tender Care Junior Academy",237.23,1
"Matatu Sacco permit","Legal & Professional Services","Licensing & Permits","Kenya Institute of Management (KIM)",598.06,1
"Dawa ya baridi","Health & Fitness","Supplements & Vitamins","Zen Garden Spa",957.38,1
"Viazi karai","Food & Dining","Meal Kits & Subscriptions","Ali Barbour's Cave Restaurant",862.78,1
"KCPE registration","Education & Learning","Test Preparation & Exams Fees","Teachers Service Commission (TSC)",148.46,1
"Mathare Youth Sports","Childcare & Parenting","Extracurricular Activities","Kids Wonderland Toys & Gifts",817.14,1
"Expressway pass","Transportation","Road Tolls","Soltic Africa",333.52,1
"School fees fund","Gifts & Donations","Charitable Donations","Rotary Club of Nairobi",470.48,1
"Vets prescription refills","Pets & Animal Care","Pet Medications","Kenya Animal Training Academy",153.63,1
"Mandazi and chai","Food & Dining","Cafés & Coffee Shops","The Sands at Nomad",923.0,1
"Weekend getaway ride","Travel & Vacation","Car Rentals","Kisima Tours & Safaris",846.83,1
"Kikoi for mum","Gifts & Donations","Holiday Gifts","WE Charity Kenya",848.23,1
"Simu imeibiwa","Miscellaneous & Unexpected Expenses","Lost or Stolen Items","Overdraft Fees",220.69,1
